City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,31.08,66,20,4.12,MY,1707878573
1,adamstown,-25.066,-130.1015,25.01,85,100,6.69,PN,1707878604
2,hawaiian paradise park,19.5933,-154.9731,25.73,75,100,3.09,US,1707878604
3,iqaluit,63.7506,-68.5145,-19.15,78,75,0.0,CA,1707878604
4,avarua,-21.2078,-159.775,29.03,65,40,4.12,CK,1707878604
5,kapa'a,22.0752,-159.319,25.99,71,0,7.2,US,1707878605
6,wellington,-41.2866,174.7756,20.81,61,20,12.35,NZ,1707878394
7,ierapetra,35.01,25.7353,13.41,71,1,2.68,GR,1707878605
8,mapastepec,15.4333,-92.9,25.19,71,20,2.13,MX,1707878605
9,margaret river,-33.95,115.0667,24.46,41,77,1.29,AU,1707878605
10,albany,42.6001,-73.9662,1.24,67,39,1.34,US,1707878373
11,puerto natales,-51.7236,-72.4875,10.19,99,100,0.55,CL,1707878605
12,west island,-12.1568,96.8225,29.99,70,40,5.14,CC,1707878311
13,tazacorte,28.629,-17.9293,18.97,84,0,2.06,ES,1707878427
14,novoshakhtinskiy,44.025,132.1514,-0.21,78,100,3.78,RU,1707878605
15,invercargill,-46.4,168.35,24.45,38,0,9.39,NZ,1707878606
16,bilibino,68.0546,166.4372,-32.13,97,100,0.6,RU,1707878606
17,tura,25.5198,90.2201,23.76,27,36,0.31,IN,1707878606
18,san andres,12.5847,-81.7006,28.01,78,40,6.17,CO,1707878606
19,cartagena,10.3997,-75.5144,27.79,78,0,3.09,CO,1707878606
20,kodiak,57.79,-152.4072,3.73,93,100,7.72,US,1707878606
21,lospalos,-8.5186,127.0025,28.49,69,100,3.87,TL,1707878606
22,puerto varas,-41.3195,-72.9854,15.12,67,0,3.6,CL,1707878606
23,blackmans bay,-43.0167,147.3167,18.62,41,18,1.79,AU,1707878606
24,gadzhiyevo,69.2551,33.3362,-19.18,97,97,6.97,RU,1707878607
25,puerto ayora,-0.7393,-90.3518,26.97,96,100,1.34,EC,1707878607
26,ta`u,-14.2336,-169.5144,26.62,92,100,7.58,AS,1707878607
27,port-aux-francais,-49.35,70.2167,8.25,91,100,8.31,TF,1707878607
28,greymouth,-42.4667,171.2,17.37,71,54,3.31,NZ,1707878607
29,hermanus,-34.4187,19.2345,15.45,86,78,1.97,ZA,1707878607
30,kailua-kona,19.6406,-155.9956,26.98,74,40,4.63,US,1707878607
31,sao jose da coroa grande,-8.8978,-35.1478,26.42,82,53,1.54,BR,1707878608
32,iskateley,67.6803,53.1512,-32.74,100,6,2.16,RU,1707878608
33,susuman,62.7833,148.1667,-35.57,97,95,0.45,RU,1707878608
34,college,64.8569,-147.8028,6.18,64,75,4.12,US,1707878608
35,edinburgh of the seven seas,-37.0676,-12.3116,17.92,83,60,4.6,SH,1707878608
36,youhao,47.8667,128.8333,-8.81,76,100,1.81,CN,1707878608
37,yelizovo,53.1873,158.3805,-11.92,43,75,2.0,RU,1707878608
38,ushuaia,-54.8,-68.3,10.81,58,0,8.23,AR,1707878344
39,enewetak,11.3474,162.3373,26.06,79,93,7.53,MH,1707878609
40,papatowai,-46.5619,169.4708,22.29,47,0,0.41,NZ,1707878609
41,anadyr,64.75,177.4833,-25.56,75,40,4.0,RU,1707878609
42,ribeira grande,38.5167,-28.7,15.43,78,6,4.92,PT,1707878609
43,thompson,55.7435,-97.8558,-5.91,100,100,1.03,CA,1707878609
44,namibe,-15.1961,12.1522,27.07,77,100,5.18,AO,1707878609
45,isafjordur,66.0755,-23.124,-3.53,77,79,6.14,IS,1707878609
46,lihue,21.9789,-159.3672,25.58,71,0,7.2,US,1707878609
47,bethel,41.3712,-73.414,0.36,72,100,1.54,US,1707878609
48,rabo de peixe,37.8,-25.5833,14.73,88,75,3.09,PT,1707878609
49,kabinda,-6.1333,24.4833,19.98,87,100,1.26,CD,1707878609
50,olonkinbyen,70.9221,-8.7187,-3.99,89,100,11.86,SJ,1707878610
51,turaif,31.6725,38.6637,10.14,62,40,2.06,SA,1707878610
52,grytviken,-54.2811,-36.5092,6.01,91,100,4.92,GS,1707878610
53,yarmouth,41.7057,-70.2286,1.0,89,40,6.69,US,1707878565
54,al artawiyah,26.5053,45.3444,16.02,48,97,6.51,SA,1707878610
